,name,date,location,star_ratings,reviews
117,Amy C.,4/10/2013,"Sydney, Australia",4 star rating,"Overrated experience. For some unknown reason, the infamous baked eggs at Hardware Societe has attracted flocks of brunch-lovers since its opening as an affirmation to Melbourne's uber-cool hipster food scene. But if you're hoping to test out the waters of this city's brunch culture, you can prepare yourself for at least hour-long waits into the midday, rude waitresses snapping at the lines that (understandably) flood the narrow laneway, and the inevitable disappointment of being served food far below the hype. After asking for recommendations and having half the menu halfheartedly recited to us by a distracted waiter, our group of four settled on trying the popular baked eggs. Here's a lesson to all: Don't order this just to try it out because the idea of baked eggs sound unique and interesting, because you won't enjoy it. I honestly have no idea what all the fuss is about - this dish is one of a select few that have the rare combination of being both heavy yet tasteless. The portion was impractically large and left no one satisfied. Honestly, it left me wishing that some things, like brunch, were better left untouched by the city's hipster food creators."
118,Donald Y.,5/20/2017,"Melbourne, Australia",2 star rating,"- Small varied menu, but goddamn everything on it sounded delicious- Clean, slick, brightly lit modern decor & ambience, tonnes of attentive and efficient wait staff- Lamb was good, duck was good, I'm sure everything on the menu is good! Would love to try"
119,T K.,9/04/2012,"San Francisco, CA",4 star rating,"My wife and I came here on a Saturday for brunch and were able to get a seat within 20 minutes despite a long appearing line. We got the hot chocolate which was delicious -- the chocolate base was not a powder but a chocolatey butter. So. Good. We got the mushroom toast served on a walnut bread with a bean purée, hazelnuts and poached egg. This was hands down the best mushroom toast we've ever had -- every component was cooked to perfection and it was clear that the chef paid attention to aesthetics, flavor, and texture. We finished with the fried brioche served with s chocolate chantilly and passion fruit custard topped with a meringue. The dish was a culinary adventure and a great one at that. We have had many a French toast and brioche and this topped the ones we've had at nopa in SF and the kitchen in providence."
120,Danni G.,4/20/2014,"Melbourne, Australia",4 star rating,"The naughtiest healthy breakfast I've had but it was oh so nice.When Bircher muesli tastes like a luscious, luxurious dessert I know this is not the type of Bircher muesli Mish prescribes the 12wbt disciples.  With each creamy, deliciously balanced  sweet bite I wonder what sort of workout I am going to need to do to burn off all of this ""healthy"" goodness.  Especially when I top it off with the deservedly acclaimed hot chocolate, what a delight this is.Whilst I contemplate the pleasures of my choices and the pain that will need to follow, I am in awe of the fried brioche with lavender panna cotta that my friend is relishing but alas he is defeated and can not finish the final few bites of brioche.Service here is efficient with our meals arriving in a matter of moments.  The gorgeous fit out and frenchy music made me feel like I was in Paris...thankfully without the attitude.  Hardware Societe is the perfect example of naughty but nice, very, very, nice."
121,Wendy F.,2/20/2015,"Melbourne, Australia",4 star rating,"Breakfast here was a treat! 7.30am before work I adventurously selected the pork belly which arrived on a bed of smashed leeky potatoes topped with a horseradish cream and next to 2 eggs on toast. I did say I was adventurous! Service was warm, friendly and made us smile. Service was quick considering this cafe steadily moved towards bustling as it got later. It was a warm morning so we sat outside. It was a good choice. Although I found the chairs a bit uncomfy. The arms kept getting in my way. The food - the pork was mouth watering. It fell apart on the fork just how it should. The crackling could have been a bit crunchier, a bit less rubbery. I love potatoes, these were Devine! Seriously yummy. The potato leek combination is always a winner. The eggs and toast were delicious too. Overall a great dish. I was warned it was a huge dish by the waiters. They were right but I was up to it. I intend to go back and work my way through the menu. Prices were quite reasonably. The only negative came when it was time to pay. My friend and I, plus a number of other diners queued at the registered where meals and coffee where being collected by wait staff. They were also weaving through us with cleared plates back to the kitchen all the while we danced back and forth trying to avoid them. It was a bit of a wait so somewhat annoying. Easily fixed by a bit of re arrangement of the cash register location. All up my vote is Yes Please!"
122,Kiera S.,5/31/2014,"London, United Kingdom",5 star rating,"As everyone else says, the line is long. As everyone else says, the line is very much worth it. Delicious baked eggs (I'm not usually much of an egg eater, but these were amazing!!). You won't be hungry afterwards. The coffee was ok, but not amazing. Staff was efficient but not overly friendly. But the FOOD.... amazing. Can't go wrong."
123,CJ B.,2/02/2013,"Seattle, WA",5 star rating,"What fun and quite yum!  This is a very high energy place which is deservedly popular. Luckily, we were able to find seats at the counter where we could watch the kitchen staff work its magic.On our first visit to Melbourne we went here for breakfast but unfortunately, as it was our last day in town, we could not return to sample more of the enticing menu items. The entire menu tempted us, especially as we watched the individual dishes being prepared.  We finally settled on charcuterie with coddled eggs (a very generous plate which allowed for some sharing) and cold rice pudding with cherries, both of which were delicious.The restaurant is on one of Melbourne's famous laneways. This laneway is not as hopping as some of the others, but you should DEFINITELY make the extra effort to seek out this great find."
124,Shane R.,5/11/2014,"Melbourne, Australia",1 star rating,"I keep hearing how wonderful this place is but waiting in line is not my thing. One day I noticed there was no line. I went in, was seated and waited... And waited. I got the attention of wait staff who indicated they would serve another table then me... Then I waited some more. Eventually my patience wore out and I simply left.Which is how I found the delightful cafe across the lane."
125,Alvarez W.,3/26/2015,"Aspen, CO",5 star rating,Consistent. Delicious. Very much what you might find in France. I've had dreams about the rice pudding. Service is great. I love this place!
126,Michael S.,6/21/2015,"Tulsa, OK",5 star rating,"Great, fast service and delicious specials. I ordered the sweet brunch special without even looking at the menu, and it was worth it. Loved this place! It's busy though, so come In a small group, or come early."
127,Sam Q.,8/02/2016,"Melbourne, Australia",5 star rating,Was my first meal when I arrived to MLB. Great and unique food. The service was prefect. Don't miss Dux baked eggs I consider it a signature dish.
128,James M.,5/27/2017,"College Park, MD",2 star rating,Came here because of the super high reviews. Wasn't really my thing. It was small and felt cramped. I ordered the pork belly breakfast and she got the porridge. Both were alright but I've had better. The toast in particular wasn't to my liking. It wasn't burned but it was extremely stiff and tasted like it had anise in it.
129,amy m.,5/05/2017,Australia,4 star rating,I really loved this place. Make your coffee order as long as you like. Not a problem. Food is creative and delicious. Only downside is the wait outside for a table at peak times.
130,Edward W.,5/23/2014,"Locust Grove, GA",5 star rating,"As a part of my first trip to Oz, this was recommended by a couple of locals I had met. The place was very busy, about a 20min wait. When party was finally seated and served...I completely understood what all the fuss was about. Breakfast or Brunch! When in Melnourne this should be one everyone's meal stops!!!"
131,Donna S.,4/05/2016,"Los Angeles, CA",5 star rating,"ambiance//*****adorable decor that resembles something of a sidewalk chic and homey cafereminiscent of scandinavian eatsoutdoor tables for those that enjoy the breezeindoor seating allots for small groups or communal diningservice//*****my waitress was extremely friendly...providing delicious recommendations and bantering with other diners...like checking out their cool nintendo controller mobile phone coverssince i was dining alone, i was seated at a communal table with an excellent view of the hustle as bustle of their morning crowd...i like that their waitstaff patiently served me for over an hour as i waited for my cousin to finish up at the gym so we could meet up elsewhere lateri never once felt rushed just because i already finished breakfastfood//*****i got a lemonade and the recommended chorizo baked egg which is accompanied by 2 slices of toastoh man~ one of the yummiest baked eggs yet! =9 melbourne has got portland beat...i know part of it is because i don't like eating overly salty foods...and theirs have all the wonderful elements without leaving you parchedif the chorizo baked egg is any indication of their other signature dishes.....you are in good hands!~*~i stumbled across this place on yelp when i had time to kill and a stomach to feedalthough it's definitely hipster to the max, they do it in a way that's just rightno snobbery or doucheyness just chill . fun . delicious!"
132,Jen S.,11/23/2015,"San Francisco, CA",4 star rating,"one of the most popular restaurants in melbourne, therefore really busy. luckily i was by myself that morning and didn't have to wait to be seated. i sat by the kitchen and got to watch them make the food which was amazing. i would suggest the baked eggs or the salmon or the lobster benedict with a coffee (pretty coffee art!). i wish i came with someone so i could try more dishes!"
133,Jane S.,11/08/2015,"Melbourne, Australia",5 star rating,Worth the long wait - cute spot for brunch with date or catch up with friends over the weekend. Pork belly was rich but perfectly cooked. Be prepared to make some new friends if you are a small group and you get placed on the large communal table. Fun and helpful as you get to see up close and ask what people ordered before you order from their impressive menu. Definitely coming back to try their other items!
134,Laura N.,10/28/2013,"Bellevue, WA",4 star rating,"Bring cash, get there early and grab a spare seat if you can - this little cafe deserves all of the buzzing attention it gets. Though I nibbled a few bites of the Yelp rave-inducing baked eggs and chorizo, and drooled over some sort of fried egg, toast and prosciutto volcano monster brekkie that made me full just looking at it, I ended up with the stalwart and fan-favourite bircher muesli with fresh fruit and nuts. I honestly believe this is the type of place where you really can't go wrong, and you could easily challenge yourself and a dining companion to sample the entire menu. The tea pots (and accompanying cozies) were beyond precious, but I couldn't help but assume they were jealous of the delicious spoon doughnuts that the coffees come with. Or maybe that was just me..."
135,Ghen L.,12/04/2015,"Newton, Singapore, Singapore",4 star rating,I'm addicted to the Baked eggs with Chorizos. One of the busiest breakfast/brunch places in Melbourne. Be prepared to queue up for 30-40 minutes If you're a late starter.
136,Alex C.,4/22/2018,"New York, NY",5 star rating,i stayed right by this cafe for 3 days in melbourne and enjoyed multiple coffees. the coffee is very good. service is excellent. always got a yummy lil donut hole with my coffees. watching the lineups that accumulated throughout the day here was intriguing and it's obvious why - the food looked fanatastic. i didn't eat here but i know it would be good.
137,David T.,2/16/2015,"Garden Grove, CA",5 star rating,"Get Lost! Visiting Melbourne early in the morning, I realize I'm all alone because the rest of my entourage continues their recovery mode in unconsciousness at the hostel, while I search for mercy via food and drink. I'm thinking about eggs this morning and I'm lost in a city that doesn't support my kind of breakfast as the United States supports my kind of breakfast. I gallantly strive into a curious alleyway. Apparently, here in Melbourne, businesses take up every square inch of space and there's not much room for seedy nooks. So alleyways are full of sunshine, smiles and positive surprises, like The Hardware Societe. This breakfast/brunch, upscale hole-in-the-wall offers me a healthy selection of sinful breakfasts, mostly honoring the egg. Strike gold! Examples include: baked eggs in a mini vegetable cauldron, fried egg a la pork belly, egg and Spanish-style chorizo. Accompanied by elegant crostini-cut toast, these sufficiently-proportioned dawn dishes remind me that it's time for the letter of the day: Mmmmmm. The only caveats include sardine space inside, lengthy line outside, no substitutions available: I wanted them to create something for me. They were really strict on set menus. Good reason for it too. What was that letter of the day again?"
138,Matthew D.,4/20/2016,"Hawthorn East, Australia",5 star rating,"Absolutely awesome Baked Eggs, can't recommend the Duos, chorizo flavour enough. Complemented with great tea and awesome atmosphere, this is my favourite breakfast spot in Melbourne."
139,Andrew R.,10/19/2014,"Melbourne, Australia",5 star rating,"Great cafe. Breakfast menu a little limited but you can't go wrong with baked eggs with chorizo.  Their coffee is pretty good,  amazing hot chocolate. If more menu variety is desired come after 11 or 12 for lunch and brunch menu. Porkbelly is really good, very tender and juicy, also comes with two fried on top of a toast with spicy onions, might be a little to much. The ambience is good and service is fairly good for such a busy cafe. Nice seating outside on the hardware lane. Only downside is the waiting time, you either have to come for early breakfast or late brunch/lunch. Otherwise it's at least a 15-20 in the warmer months."
140,Ali H.,7/05/2016,"Wellington, New Zealand",4 star rating,"This is a delightful cafe. It offers a bright, welcoming space with appealing decor, great service and good coffee. Most tables are for sharing but there's plenty of room. I love the casual 'homey' feel and the whole atmosphere. I'll be back."
141,Alicia N.,9/16/2013,"Adelaide, Australia",5 star rating,"I had heard that this was 'the best breakfast in Melbourne' and I was certainly not disappointed! Luckily I planned to visit on a Friday morning when it was 'quieter' because it was still extremely busy - for two of us it was a struggle to get a table while a few people were turned, away - and certainly not for lack of space, there are plenty of tables here, it's just that they were all full! Delighted to get a table, thanks to the lovely and oh so friendly staff, my Mum and I sat down and began drooling over the amazing menu!I ordered the baked eggs with chorizo while while she ordered a dish that came with some little poached eggs in shot glasses and bits of cheese, salmon, little pickles and tasty meats to nibble on. Both were served with yummy bread and in fantastic time, considering that the cafe was so incredibly full!The food was wonderful but for me, the absolute stand - out highlight was the amazing hot chocolate. So rich and tasty and so so so much of it - for only $5 which is so cheap compared to other places that have served me up very very average hot chocolates for much more.Put this on your list of must try places - but from all reports, try to avoid a weekend if you don't like lines!"
142,A T.,12/08/2015,"Singapore, Singapore",4 star rating,"Fabulous coffee. Great eggs - baked eggs, Lobster Benedict. Innovative and yet done perfectly. You cannot go wrong with any item on its all-day brunch menu. Great ambience and wonderful friendly staff to assure you of a great dining experience. Be warned tho' ..... the queue can get pretty long, so either time your visit or be prepared to spend some time catching up whilst staying on the queue."
143,Demi C.,4/27/2015,"Pain Court, Canada",4 star rating,Service and atmosphere was top knotch at Hardware Société however I found the food to be so/so.  I got the scrambled eggs with salmon.  The salmon was light and tasty however the bread it came with was a little too thick and dense for my taste.  The eggs were cooked perfectly and such a big portion.  Definetely couldn't finish it all by myself.  Also love the little donut given with each hot beverage!
144,George L.,12/29/2015,"Carrollton, TX",4 star rating,"Great breakfast place hidden off what seems like an alleyway.  The baked egg No. Deux was great and the Lobster Benedict was good, but seemed to be missing some flavor.  The Fried Brioche was phenomenal, but a little rich.  It is a little pricey, but well worth it. Everything here fit, the decor, the food and the ambiance."
145,Taylie T.,10/17/2015,"Subang Jaya, Malaysia",4 star rating,I had pork belly & fried eggs with a cup of soy latte. I love the pork belly. The portion is good. It's a good place to have brunch. It does get real busy during weekend. My advise is to go on weekday before lunch hour. I had to wait awhile before I got my place.
146,Courtney B.,7/05/2014,"Leichhardt, Sydney, Australia",4 star rating,"Amazing hidden away restaurant that is seriously buzzing. Saw the huge crowd of people before we spotted the cafe. Had to wait about 30min for a table and got put on the communal table which we really didn't mind, it's wide enough for the people across from you to not hear if you don't want them to. Got the baked chorizo eggs which were good. Saw the brioche and which I got that. Also tried the lavender and blueberry cold pressed juice which was ok. Wouldn't get it again. Coffee was lovely but I got forgotten and had to remind the waitress of it, but bo dramas. Would go again for sure"
147,Angelica P.,12/07/2016,"Jersey City, NJ",4 star rating,Best brunch place in Melbourne according to several websites and the food is really great.  Service is better than most places in Melbourne but not the best.  Expect to queue for quite sometime unless you have a booking or arrive upon opening.  Food is creative and delicious.  Expect a sizeable portion for its cost and one that is filling.
148,Jo B.,8/03/2016,"Melbourne, Australia",4 star rating,"There are only two things that stop this being a 5-star venue for me: firstly, they removed my favourite pork belly dish from their menu. I'm devastated! Secondly, it's impossible to get a seat here without a wait, unless it's 9am on a Monday, and even then, you might have to queue. But there's a reason it's incredibly popular, because the food at atmosphere here is wonderful. Unfortunately, it's is now so well known that my inner-hipster has almost lost interest. However, I'm sure HS will continue doing amazing food and a roaring trade. And I'll probably still walk past now and again, in the vain hope of it being quiet, and to linger over the sweet treats on display, and think about the good old days when I first discovered this lovely little pocket of Hardware St."
149,Jen Y.,3/28/2017,"KNICKERBOCKER, NY",5 star rating,"Excellent food and great service. We ordered the Lobster Benedict and pulled duck breakfast sandwich with eggs. Both dishes were simply delicious and unique. Great drinks also. Come early if you don't want to wait, otherwise there will be a queue to this awesome place!"
150,Karen B.,12/05/2015,"Shellharbour, Australia",5 star rating,I'm not in Melbourne. I've not eaten here since 2013. Yet two years on and my husband and I still compare every Croque Madame we eat to the one we had here at The Hardware Societè.And you're getting 5 stars because you're still the best :-)
151,Kelsey H.,11/10/2013,"Melbourne, Australia",5 star rating,"THE. BEST. HOT. CHOCOLATE. EVER! I'm a soy-drinker and this soy hot chocolate was just phenomenal.I've had the continental breakfast here, which was delicious and such fantastic value for money! I've also had the vegetarian baked eggs which were mouth-wateringly good (though I was far too impatient and ended up burning my mouth on them. *Sigh*, will I ever learn?!).The coffee was alright - you can get better in Melbourne - but the hot chocolate's where it's at!"
152,Hailey P.,7/18/2013,"Preston, Australia",5 star rating,"Was skeptical of the queue outside at lunchtime, but it was definitely worth the wait. The pork belly here has an amazing texture and unique flavour, with generous portion sizes, so I would suggest ordering plates to share. Fast service surprisingly and not too noisy for a busy place. The iced chai was also decent with ample sizing despite not having a large size available."
153,Betty C.,3/20/2014,Australia,5 star rating,"Believe the hype... Best breakfast in Melbourne! I had the baked eggs with chorizo and an amazing coffee. Friends had the mushrooms, and another the omelette. All plates were cleaned with their delicious fresh bread. Highly recommend."
154,Brian D.,2/06/2018,"Silver Spring, MD",5 star rating,"Delicious eggs baked in a little iron pot with chorizo, potatoes, and pine nuts with great croissant and blueberry jam. Oh and a great cappuccino, delicious.  Crowded small place with a line forming 30 min after opening.   Quite unusual menu. Left very satisfied."
155,Kat R.,9/02/2013,"Melbourne, Australia",5 star rating,"A little taste of France in Melbourne = whilst most places in hardware Lane are touristy and overpriced, this place has it all - charm, fun, a great menu and macaroons to die for.You usually have to wait a while for a table on Sats (its not open Sundays) but you;'d strugle to find a better place in the CBD for a great breaky (the baked eggs are winning) or afternoon tea."
156,Alternative B.,11/20/2016,"Melbourne, Australia",5 star rating,"This place is always pumping no matter what time of the week you visit! And rightly so, fantastic and friendly service, lovely atmosphere and delicious Padre coffee. These guys just keep smashing it and have gone from strength to strength. Its also worth checking out their little sister Bower to Williamsburg across the lane which is relatively new. Also front of House man Aaron is a total babezilla which always helps ;) Keep it up Hardware Societe!"
157,Nasreen P.,1/22/2012,"Adelaide, Adelaide, Australia",5 star rating,"Awesome food, vibe and service. I had the omelette with bacon and brie which was amazing. Attention to detail with fitout and food presentation. Great coffee as well. Will definitely be back! If I had to pick on anything it would be the cash only payment!"
158,Feren Y.,2/13/2016,"Melbourne, Australia",5 star rating,The location is good and very convenient. I have heard about this place and how it is a  must try so I took my friend from overseas here for lunch.We had to wait but when we were seated the service was prompt and friendly.  It is not the cheapest cafe but the service size is decent.I got the baked eggs with chorizo and my friend got the duck confeit. We both got teas and they even came with tea cosy's!I would go back but next time would make sure I went nice and early or after the crowd has left.
159,Miriam S.,8/15/2013,"Melbourne, Australia",4 star rating,"Still as brilliant as ever, even though they don't have the original chef. He moved on to The South Melbourne Trader. This time I had the baked eggs with sausage, capsicum, cheese, olives and spinach. It was great. But as I sit on one of the stools, watching the chef preparing the meals, I couldn't help but wish I had ordered the new fried almond croissant. I tell you it looks amazing. Or the banana bread. I don't usually go for the banana bread thing but damn his was tempting, plus thanks to the high price of bananas, I crave them all the time. I can't tell you how incredibly friendly and efficient these guys are. I would come here based on that alone, even if the food wasn't as amazing as it is. Well done, guys."
160,Alice D.,8/16/2016,"Vancouver, Canada",2 star rating,"Too crowded to have a relaxing brunch on weekends. We had to share ONE table with the other 4 groups of people. Also, the server ( a man with darker skin n glasses) who registered our name on the waiting list was very rude and impatient. We waited for 30 mins and when we wanted for further asking, that server just kept asking us to read the sign and wouldn't listen to what our question was. So rude! There should be a system for those who wait in line instead of just yelling out loud (without number tags or something else). However, there is an enthusiastic male young waiter who introduced meals with patience and smiles on face. He wore a pencil on his ear and he always talks with a passionate and exaggerating tone. If u are lucky enough, u can meet him in person :p"
161,Sarah D.,2/06/2018,"South Yarra, Australia",3 star rating,The food was good and so was the service but still don't understand the ques. The seating was low and cramped like being perched in a cubby house and despite enjoying the experience have not troubled to go back. The croissants were very pleasant and the breakfast formula tasty. It was too expensive for more than a rare planned treat.
162,Albert A.,3/04/2014,"Waitara, Australia",5 star rating,"I hmmmmm... ok... loved this place!So one drizzly morning (or ""so one normal morning"" in Melbourne), I decided to make a large detour in my walk between my hotel and office (I travel for work), largely because of a recommendation from my colleague Jane Corder (holler if you're on Yelp). From what I can tell, she's quite with it when it comes to class and food.Despite spending a significant amount of time in Melbourne for someone who isn't from there, owing to a combination of family, work and the Australian Open, I struggled to find this place. Don't worry Melbournites, it just me, not you. I get lost trying to walk along the river to Rod Laver arena and have been lost on American highways with a map in hand. The photo I found of the cafe didn't help either - it was one of a neo-sleepy, suburban minimalist setting, so I wasn't looking out for a bustling cafe in a lane. Boy was I glad to have persisted!I sat down and ordered a hot chocolate. I like places which serve chocolate which didn't taste like sweet brown water. Or sweet brown milk for that matter. Let's put it this way, after drinking this chocolate I had wanted to take some (powder/flakes/melt bits) home to Sydney with me, but alas I wasn't able to find any on the shelves. Granted, I didn't ask about it. But it was that good. From memory, it wasn't a supremely high cocoa content (somewhere between 45-60%, and normally I'm a 75% person and even top shop-purchased chocolate with cocoa powder), but sometimes with chocolate, it's the way it's prepared, it's where the chocolate's from, it's whether they put in a pinch of salt. I already have quite a bit of chocolate at home from all those other wow moments, I didn't really persist this time. Might as well stock it in the memory and leave something to look forward to next time.My breakfast consisted of a skillet of baked eggs and chorizo, romesco, roasted roma tomatoes. The eggs were done just right (and in front of me), the chorizo was slightly spicy (which I loved) and the fat in the sausage was activated and made aromatic by the hot pan... mmmmmmmm it's good enough to fly back to Melbourne for! Despite being this good, I took my time, stretching out the enjoyment. I wasn't too fussed about going to my class late.Definitely worth 5 stars!"
163,Tomas Z.,8/16/2013,"Melbourne, Australia",5 star rating,"In my opinion this is the best brunch in the CBD. Do not be surprised if you have to wait over 40 minutes for a table on the weekend and believe me it's well worth that wait.If you just have 2 people try to sit at the kitchen bar top and watch how fast the chefs prepare everything in their hectic kitchen. The baked eggs are a highlight and have never disappointed, the other options for breakfast are really good too."
164,Chris R.,12/18/2015,"San Francisco, CA",2 star rating,"Pork belly and eggs where over cooked, dry, and bland. Very disappointed. My friend got a small amount of yogurt with a bit of granola and fruit. We've had better at the hotel's free breakfast."
165,Chely May R.,4/21/2013,Australia,4 star rating,"""No wonder half the amazon is chopped down"". That's what he said as he sipped on what we think THE BEST hot chocolate in Melb-Town.What is in this? I asked the cute waitress longingly, please, tell me, what it this amazing concoction, how do I make one of these at home??""Cream"" she said, a dollop of it, don't forget the chocolate ganache, Did you hear that? Chocolate Ganache! in my hot choc mug. with cream. and that's not counting the hot choc yet!We had scrambled egg with chorizo and baked egg with fetta, I am not sold yet but I will definitely be back if only for those hot choc and mini donuts.This is a completely biased review influenced by hot choc poison ;)"
166,Pete D.,6/22/2013,"Brisbane, Australia",5 star rating,"Go forth and spoil yourself with the best Breakfast Melbourne has to offer. The menu changes seasonally, and is full of surprises. Breakfast paella anyone? You MUST come early. Wait times are consistently 30-40mins, but as every one knows, it's well worth the wait. The coffee is good, and comes served with a mini donut hole, which is nice. The range of food is moderate, but every option is well thought out, and well sized. Not so much to make you overly full, but enough to sate your hunger.The seating is this biggest challenge here, and is very much 'make do with what you've got' Every time I come to Melbourne, I ensure I make time for Breakfast here. Between blood orange porridge, ham baked eggs, brioche and croissants, there isn't much lacking on the menu."
167,Giuseppe P.,8/16/2016,"Melbourne, Australia",5 star rating,This is one the best place in Melbourne where you can eat the very Australian BREAKFAST!!!
168,O W.,11/07/2015,"Melbourne, Australia",5 star rating,I love this spot. Fabulously creative and tasty dishes whether it's lunch or breakfast. The chocolates and other items for sale are fantastic for gifts. Slick well trained staff. My daily coffee stop
169,Jane Q.,11/09/2015,"Murrumbeena, Australia",2 star rating,"The bread tastes too salt, iced green tea too sweet, doesn't feel like original taste of green tea. Ordered the lobster brunch as well as spring chicken, Iced green tea and iced mocha. None is favorite. btw, waiting outside for around 40 minutes really annoying, do disappoint after trying the food."
170,Juliana K.,9/19/2012,"Perth, Australia",4 star rating,"Wow just wow, what a gorgeous little breakfast and brunch spot.After waiting some time for our table I ordered the deconstructed cheesecake on Brioche with Grand Marnier oranges. The staff were really attentive and the food came out quickly. The meal was beyond grand, and well worth the wait.It's places like this that make me think I could put up with Melbourne's crumby weather just so I could feast at these kinds of cafes. On that note, the only reason I'm giving it 4 stars and not five is because a lot of seating is outside and there's no heaters. It was cold."
171,Irene C.,10/23/2011,"Melbourne, Australia",4 star rating,"A week or so ago after a night out on the town, my partner and I decided to head to 'The Hardware Societe' for breakfast. It was a small little shop that was actually pretty hard to find considering it wasn't really around anything, and that we were expecting a much grander shopfront.  To start, hot chocolate. It arrives looking like a tea set, a mug(with chocolate paste inside), a jug with hot frothy milk, and another jug with extra chocolate sauce. It takes up quite a bit of space on the already tiny round tables, but hey- you get around 3 cup-fulls worth of refills. The menu is a little hard to get your head around if your not a morning person, baked eggs and chorizos, duck confit(yes this is the breakfast menu), croque madame. Now I was set on my meal, my partner however was lost. They did not have bacon, yes that's right- no bacon on the menu whatsoever. Not a problem for me, but my partner who drank into the night was in need of a hangover cure.If your just after your average bacon, eggs and toast breaky, I probably wouldn't recommend this place. Now if your after something a little different, my baked eggs and chorizos was an absolute delight. Steaming hot, right out of the oven served in a cute tiny pot on a chopping board, with herb bread on the side, it was like dippy eggs and soldiers on crack(in a good way of course).Overall I found this place quite pleasant, the staff were helpful, and the prices were about right. My only downside would be the size, the shop was very compact and everyone wanted a piece of it(even for a 9am Sunday). I would not consider going with a large group of people, as the table can become squashy and uncomfortable.Nonetheless, this dish was exceptional, I will 100% return in the future to eat the same thing once again."
172,Abel C.,2/07/2013,"Adelaide, Australia",1 star rating,"This is pretentious over priced averageness. $19 bucks for some 15cm section of dry baguette with half a rasher of bacon, handful of baby spinach and some chutney which was tasty. And then just some standard scrambled eggs with parsley in it, kinda nice but not special.But seriously the bread was dry as and the portions are super skimpy. Don't go here unless your just going for the hipster vibe. As far as I am concerned it is just over priced pretentious food. I could have got better from some random dodgy joes cafe.When I told the staff I was not happy they didnt even care or offer anything. Plus to top off their exorbitant prices they dont have credit or debit card facilities, I mean this guy is already extracting a crazy profit margin and probably dodging tax too. I mean its the 21st century and you dont accept credit. The sad thing is lots of people buy this rubbish regardless because it feels hipster. It didnt taste any better than my local chain coffee store breakfast.My advice to them, reduce the unnecessary amount of staff you have running around and start giving people decent food. At least fresh bread and 2 rashers of bacon not 0.5 a rasher... come on!!!"
173,Megan L.,6/11/2015,"West Sacramento, CA",4 star rating,"Great for all day breakfast, arrive early on the weekend but expect to still wait 15-20 min. Soy chai latte was great but next I'd try the hot chocolate, everyone seemed to have one! Food is a bit heavy and filling, croquet Madame was amazing. A must try."
174,Jean L.,4/28/2016,"Melbourne, Australia",4 star rating,Lobster Benedict nice. Good mix of flavor. Only disappointment was tiny cup of latte.
175,Leah B.,11/23/2015,"Brisbane, Australia",4 star rating,"Delish brekky in a cosy spot - hidden away a bit but worth the find. Well priced, heaps of options presented on a clipboard menu and great coffee. Loved the vibe and whilst busy, only had to wait 5-10 mins after putting our names down on a Sunday morning. It's cosy (read tigh squeeze) but worked well as a couple. Thumbs up."
176,Joanne P.,10/04/2011,"Melbourne, Australia",5 star rating,"It is very easy to walk past this café without giving it a second glance. The yellow ""Café"" sign is the only indication of the surprises within; that is unless you visit on a weekend when the crowds gathered around the store front capture your interest. This tiny French/Spanish inspired café has both quirky décor and staff which makes it charming and is backed up by the delicious food. Seated around a large communal wooden table gave me the chance to check out other diners food and the teapot cozies that added to the atmosphere. I went for the poached eggs with pear hollandaise, tomato and jamon, which was a delicious and surprisingly subtle twist on a classic. Yum! If nothing else don't go past the hot chocolate, which is made with real chocolate that melts at the bottom of the pot and gives you one last chocolate hit. Yes. There is just so much right with this place. The only challenge is making sure you don't miss out as Hardware Societe closes at 2pm on weekends, It is worth getting up early for!"
177,Josh K.,6/11/2013,"St Kilda, Australia",1 star rating,"Without a doubt, one of the worst coffees I've ever had in my life. I have, honestly, had better coffee from airport transit lounges than this place.I'm told their food is good but I didn't get that far. The coffee was enough to make me never want to eat there again. There are plenty other opportunities in Melbourne."
178,Mel P.,1/03/2013,"Melbourne, Australia",4 star rating,"Great brunch spots are not as easy to come by in the CBD as they are in the inner suburbs. Most cafes in this half of the city shut down for the weekend, which means Hardware Societe is always brimming with people. By 10am, there's a steady crowd of eager diners for their delicious fare. I've also taken Mum for lunch the week and she has raved about it ever since. A great little gem."
179,Kristin S.,7/24/2013,Australia,4 star rating,"It's busy busy busy! Waited about 40 mins on a Sunday morning to bag a table for 2. I didn't mind cause it gave me plenty of time to catch up with my breakfast buddy.Hot Chocolate is a must order! It's not any ordinary hot choc. It comes with steamed milk on the side and in your mug you get what I think is a scoop of chocolate mouse and cream.. mix it all together and it's the perfect cup of steaming chocolate goodness. Mmmmm.... And let's get to the main meal. After much deliberating stuck with the classic Baked Eggs with Chorizo and yep no regrets here either. Runny egg, spicy thick tomato sauce and crusty baguette to mop up all the goodness. Warm, hearty, perfect for winter breakfast! Sign me up!!"
